"mun";"lei";"desc";"link";"UF";"lei_ord";"ata";"decreto";"medida";"oficio";"portaria";"resolucao";"data";"codmun";"id_munic_7";"id_estado"
"Terra Roxa";"Decreto Nº 3510 de 10 de junho de 2020";"Dispõe sobre a concessão de adicional de insalubridade em grau máximo para os servidores públicos lotados na Secretaria Municipal de Saúde, que estejam prestando serviço de atendim...";"http://leismunicipa.is/ypgah";"PR";0;0;1;0;0;0;0;2020-06-10;355440;3554409;35
"Canoas";"Decreto Nº 147 de 10 de junho de 2020";"Determina a realização da contrapartida de que trata o item ""13"" do edital nº 48/2019 em formato digital.";"http://leismunicipa.is/diyfp";"RS";0;0;1;0;0;0;0;2020-06-10;430460;4304606;43
"São Bento do Sul";"Decreto Nº 1807 de 10 de junho de 2020";"ABRE CRÉDITO ADICIONAL ESPECIAL NO ORÇAMENTO VIGENTE DO MUNICÍPIO DE SÃO BENTO DO SUL.";"http://leismunicipa.is/pghby";"SC";0;0;1;0;0;0;0;2020-06-10;421580;4215802;42
"Águas Mornas";"Decreto Nº 49 de 10 de junho de 2020";"Disp?e sobre a aplicabilidade autom?tica dos Decretos e Regulamentos editados pelo Governo do Estado de Santa Catarina, com vistas a estabelecer medidas de enfrentamento e conten??...";"http://leismunicipa.is/icpdy";"SC";0;0;1;0;0;0;0;2020-06-10;420060;4200606;42
"São José";"Decreto Nº 13443 de 10 de junho de 2020";"DISP?E SOBRE AS MEDIDAS PARA LIBERA??O PARCIAL DO TRANSPORTE COLETIVO MUNICIPAL E INTERMUNICIPAL METROPOLITANO NO TERRIT?RIO DO MUNIC?PIO DE S?O JOS?-SC, E D? OUTRAS PROVID?NCIAS.";"http://leismunicipa.is/hapiy";"SC";0;0;1;0;0;0;0;2020-06-10;421660;4216602;42
"Itaberá";"Lei Ordinária Nº 2982 de 10 de junho de 2020";"Autoriza abertura de crédito adicional especial dentro do orçamento vigente e dá outras providências.";"http://leismunicipa.is/ygpja";"SP";1;0;0;0;0;0;0;2020-06-10;352170;3521705;35
"Itapevi";"Decreto Nº 5548 de 10 de junho de 2020";"<U+0093>INSTITUI O PLANO <U+0093>REABRE ITAPEVI<U+0094>, VOLTADO À RETOMADA DAS ATIVIDADES ECONÔMICAS NO MUNICÍPIO APLICADO DURANTE A FLEXIBILIZAÇÃO DA QUARENTENA DECORRENTE DA PANDEMIA DO NOVO CORONAV...";"http://leismunicipa.is/ihpay";"SP";0;0;1;0;0;0;0;2020-06-10;352250;3522505;35
"Indaial";"Decreto Nº 2278 de 10 de junho de 2020";"Institui Comissão Especial para edição de ato de regulamentação de ações para aplicação e implementação de procedimentos contábeis patrimoniais padronizados convergentes com o Plan...";"http://leismunicipa.is/ydbip";"SC";0;0;1;0;0;0;0;2020-06-10;420750;4207502;42
"Palmeira";"Decreto Nº 1685 de 10 de junho de 2020";"""Dispõe sobre o ponto facultativo do expediente na Prefeitura Municipal de Palmeira nos dias 11 e 12 de junho de 2020"".";"http://leismunicipa.is/ypibd";"SC";0;0;1;0;0;0;0;2020-06-10;411770;4117701;41
"Palmeira";"Decreto Nº 1685 de 10 de junho de 2020";"""Dispõe sobre o ponto facultativo do expediente na Prefeitura Municipal de Palmeira nos dias 11 e 12 de junho de 2020"".";"http://leismunicipa.is/ypibd";"SC";0;0;1;0;0;0;0;2020-06-10;421205;4212056;42
